,id,ppage,gender,educ,race,cat,voting_imp,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,difficulty,need_change
0,470001,73,Female,College,White,always,1,,,,,,,,,,1,1
1,470002,90,Female,College,White,always,1,,,,,,,,,,2,2
2,470003,53,Male,College,White,sporadic,1,,,,,,,,,,1,1
3,470007,58,Female,Some college,Black,sporadic,1,,,,,,,,,,4,1
4,470008,68,Female,Some college,Other/Mixed,always,1,,,,,,,,,,1,1
5,470010,70,Male,College,White,always,1,,,,,,,,,,1,1
6,470011,83,Male,Some college,White,always,1,,,,,,,,,,3,1
7,470013,43,Male,College,White,sporadic,1,,,,,,,,,,1,1
8,470016,42,Female,College,White,sporadic,1,,,,,,,,,,2,1
9,470017,52,Male,Some college,White,sporadic,1,,,,,,,,,,1,1
10,470018,80,Female,High school or less,White,always,1,,,,,,,,,,1,1
11,470019,76,Female,High school or less,White,sporadic,1,,,,,,,,,,1,1
12,470022,73,Female,Some college,White,always,1,,,,,,,,,,1,1
13,470025,52,Female,College,White,always,1,,,,,,,,,,1,2
14,470027,63,Male,Some college,White,always,1,,,,,,,,,,1,1
15,470028,81,Male,Some college,White,always,1,,,,,,,,,,1,1
16,470029,46,Male,Some college,Other/Mixed,rarely/never,2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,1
17,470030,62,Male,Some college,White,always,1,,,,,,,,,,1,1
18,470031,62,Male,College,Black,sporadic,1,,,,,,,,,,1,1
19,470033,84,Male,High school or less,White,sporadic,1,,,,,,,,,,1,1
20,470034,53,Female,College,White,sporadic,1,,,,,,,,,,1,1
21,470035,71,Female,High school or less,White,always,1,,,,,,,,,,3,1
22,470036,50,Female,High school or less,Black,rarely/never,2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1
23,470037,77,Female,Some college,White,sporadic,1,,,,,,,,,,2,1
24,470038,67,Male,College,White,always,1,,,,,,,,,,1,2
25,470039,80,Female,High school or less,White,always,1,,,,,,,,,,1,2
26,470040,54,Male,College,White,always,1,,,,,,,,,,2,2
27,470042,53,Male,Some college,White,always,1,,,,,,,,,,1,1
28,470043,47,Male,Some college,Hispanic,rarely/never,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1
29,470044,68,Male,College,White,always,2,,,,,,,,,,1,2
30,470045,73,Male,High school or less,White,sporadic,1,,,,,,,,,,1,1
31,470046,62,Male,High school or less,Other/Mixed,sporadic,1,,,,,,,,,,1,1
32,470049,58,Female,High school or less,White,sporadic,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1
33,470050,87,Female,High school or less,White,always,1,,,,,,,,,,2,1
34,470051,52,Male,High school or less,White,rarely/never,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,3,2
35,470052,64,Female,Some college,Other/Mixed,sporadic,2,,,,,,,,,,2,1
36,470053,82,Male,Some college,White,always,1,,,,,,,,,,2,1
37,470056,58,Female,College,White,always,1,,,,,,,,,,2,1
38,470057,55,Male,College,White,always,1,,,,,,,,,,1,1
39,470058,84,Female,Some college,White,always,1,,,,,,,,,,1,2
40,470059,66,Female,Some college,White,always,1,,,,,,,,,,1,1
41,470061,63,Female,Some college,Black,always,1,,,,,,,,,,3,1
42,470062,75,Male,College,White,always,1,,,,,,,,,,1,2
